game_id,decision_no,player,phase,empty_cells,legal_actions,action_kind,x,y,direction1,direction2,down_direction,ai,evaluated_candidates,selected_win_rate,selected_score_margin,best_win_rate,second_best_win_rate,best_win_rate_gap,turn,legal_moves_count,best_winrate,second_winrate,worst_winrate,best_second_gap,best_worst_gap,selected_move,selected_winrate
3,4,G,1,6,397,put,2,0,Z,Y,,random,,,,,,,4,397,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=0,piece_index=1,direction1=Z,direction2=Y",
3,5,F,1,5,301,put,1,1,Z,X,,monte_carlo,24,0.75,1.8,0.75,0.7,0.050000000000000044,5,301,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=1,piece_index=8,direction1=Z,direction2=X",
3,6,G,1,4,241,put,0,1,Z,Y,,random,,,,,,,6,241,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=1,piece_index=6,direction1=Z,direction2=Y",
3,7,F,1,3,163,put,2,2,Z,X,,monte_carlo,24,0.9,4.7,0.9,0.9,0.0,7,163,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=2,piece_index=3,direction1=Z,direction2=X",
3,8,G,1,2,109,put,0,2,Z,Y,,random,,,,,,,8,109,0.75,0.75,0.0,0.0,0.75,"put,x=0,y=2,piece_index=4,direction1=Z,direction2=Y",
3,9,F,1,1,49,put,0,0,Z,X,,monte_carlo,24,1.0,6.2,1.0,1.0,0.0,9,49,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=0,piece_index=6,direction1=Z,direction2=X",
3,10,F,2,9,547,put,2,1,X,Z,,monte_carlo,24,1.0,8.3,1.0,1.0,0.0,10,547,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=1,piece_index=1,direction1=X,direction2=Z",
3,11,G,2,8,560,put,0,0,Z,Y,Y,random,,,,,,,11,560,0.25,0.25,0.0,0.0,0.25,"put,x=0,y=0,piece_index=4,direction1=Z,direction2=Y,down_direction=Y",
3,12,F,2,7,361,put,2,0,Y,Z,,monte_carlo,24,1.0,9.7,1.0,1.0,0.0,12,361,1.0,1.0,0.5,0.0,0.5,"put,x=2,y=0,piece_index=4,direction1=Y,direction2=Z",
3,13,G,2,6,350,put,1,0,Z,Y,,random,,,,,,,13,350,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=0,piece_index=4,direction1=Z,direction2=Y",
