game,turn,phase,player,legal_moves_count,best_winrate,second_winrate,worst_winrate,best_second_gap,best_worst_gap,selected_move,selected_winrate
7,14,3,F,288,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=2,piece_index=4,direction1=Y,direction2=Z,down_direction=Y",
7,15,3,G,228,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=1,piece_index=1,direction1=Z,direction2=Y",
7,16,3,F,150,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=1,piece_index=3,direction1=Z,direction2=X,down_direction=X",
7,17,3,G,110,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=0,piece_index=0,direction1=Y,direction2=X",
7,18,3,F,56,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=2,piece_index=0,direction1=X,direction2=Z",1.0
7,19,3,G,24,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=1,piece_index=0,direction1=X,direction2=Z",0.0
8,1,1,F,649,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=1,piece_index=7,direction1=X,direction2=Z",
8,2,1,G,577,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=2,piece_index=5,direction1=X,direction2=Y",
8,3,1,F,463,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=1,piece_index=2,direction1=Z,direction2=X",
8,4,1,G,397,1.0,0.5,0.0,0.5,1.0,"put,x=2,y=1,piece_index=2,direction1=Y,direction2=X",
8,5,1,F,301,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=2,piece_index=0,direction1=Z,direction2=X",
8,6,1,G,241,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=2,piece_index=4,direction1=Y,direction2=X",0.5
8,7,1,F,163,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=0,piece_index=2,direction1=Y,direction2=Z",
8,8,1,G,109,1.0,0.75,0.0,0.25,1.0,"put,x=0,y=0,piece_index=6,direction1=Y,direction2=X",
8,9,1,F,49,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=0,piece_index=6,direction1=Y,direction2=X",
8,10,2,F,547,1.0,1.0,0.5,0.0,0.5,"put,x=2,y=2,piece_index=3,direction1=Z,direction2=X,down_direction=X",
8,11,2,G,544,0.25,0.0,0.0,0.25,0.25,"put,x=2,y=1,piece_index=4,direction1=X,direction2=Z,down_direction=X",
8,12,2,F,361,1.0,1.0,0.75,0.0,0.25,"put,x=1,y=0,piece_index=4,direction1=Z,direction2=Y",
