game_id,decision_no,player,phase,empty_cells,legal_actions,action_kind,x,y,direction1,direction2,down_direction,ai,evaluated_candidates,selected_win_rate,selected_score_margin,best_win_rate,second_best_win_rate,best_win_rate_gap
16,2,G,1,8,577,put,2,2,Z,Y,,monte_carlo,24,0.85,2.3,0.85,0.8,0.04999999999999993
16,3,F,1,7,463,put,2,0,X,Z,,random,,,,,,
16,4,G,1,6,397,put,1,2,Z,Y,,monte_carlo,24,0.9,4.3,0.9,0.85,0.050000000000000044
16,5,F,1,5,301,put,0,1,Y,X,,random,,,,,,
16,6,G,1,4,241,put,1,1,Z,X,,monte_carlo,24,0.95,5.8,0.95,0.95,0.0
16,7,F,1,3,163,put,2,1,Z,Y,,random,,,,,,
16,8,G,1,2,109,put,0,0,X,Y,,monte_carlo,24,1.0,7.3,1.0,1.0,0.0
16,9,F,1,1,49,put,0,2,Y,X,,random,,,,,,
16,10,F,2,9,547,put,0,1,Z,X,X,random,,,,,,
16,11,G,2,8,560,put,1,0,Y,X,,monte_carlo,24,1.0,7.0,1.0,1.0,0.0
16,12,F,2,7,373,put,0,2,X,Y,,random,,,,,,
16,13,G,2,6,364,put,0,0,Z,X,,monte_carlo,24,1.0,7.6,1.0,1.0,0.0
16,14,F,2,5,211,put,2,0,X,Z,X,random,,,,,,
16,15,G,2,4,192,put,2,1,X,Z,,monte_carlo,24,1.0,8.3,1.0,1.0,0.0
16,16,F,2,3,97,put,2,2,X,Z,X,random,,,,,,
16,17,G,2,2,70,put,1,2,X,Z,,monte_carlo,24,1.0,7.7,1.0,1.0,0.0
16,18,F,2,1,19,put,1,1,X,Z,,random,,,,,,
16,19,G,3,9,312,put,2,0,X,Z,X,monte_carlo,24,1.0,9.9,1.0,1.0,0.0
16,20,F,3,8,136,put,1,0,Z,Y,,random,,,,,,
16,21,G,3,7,180,put,2,2,X,Z,,monte_carlo,24,1.0,10.3,1.0,1.0,0.0
16,22,F,3,6,50,put,1,1,Y,X,,random,,,,,,
16,23,G,3,5,88,put,0,2,Z,X,X,monte_carlo,24,1.0,10.6,1.0,1.0,0.0
16,24,G,3,4,34,put,0,1,Z,X,X,monte_carlo,24,1.0,11.0,1.0,1.0,0.0
17,1,F,1,9,649,put,1,2,X,Z,,random,,,,,,
17,2,G,1,8,577,put,1,1,Z,X,,monte_carlo,24,0.85,2.4,0.85,0.65,0.19999999999999996
17,3,F,1,7,463,put,2,0,Y,X,,random,,,,,,
17,4,G,1,6,397,put,2,1,Y,X,,monte_carlo,24,0.8,1.9,0.8,0.75,0.050000000000000044
17,5,F,1,5,301,put,2,2,Z,Y,,random,,,,,,
17,6,G,1,4,241,put,1,0,Y,Z,,monte_carlo,24,0.85,2.4,0.85,0.8,0.04999999999999993
17,7,F,1,3,163,put,0,0,X,Z,,random,,,,,,
17,8,G,1,2,109,put,0,1,Z,Y,,monte_carlo,24,1.0,7.4,1.0,1.0,0.0
17,9,F,1,1,49,put,0,2,Y,X,,random,,,,,,
17,10,F,2,9,547,put,0,0,X,Y,,random,,,,,,
17,11,G,2,8,544,put,2,0,Y,X,,monte_carlo,24,1.0,7.6,1.0,1.0,0.0
17,12,F,2,7,349,put,0,2,Z,Y,Y,random,,,,,,
17,13,G,2,6,336,put,2,2,Z,X,X,monte_carlo,24,1.0,7.8,1.0,1.0,0.0
17,14,F,2,5,191,put,1,1,X,Z,,random,,,,,,
17,15,G,2,4,192,put,1,0,Y,Z,,monte_carlo,24,1.0,9.2,1.0,1.0,0.0
17,16,F,2,3,97,put,0,1,X,Y,,random,,,,,,
17,17,G,2,2,80,put,2,1,Z,X,,monte_carlo,24,1.0,11.2,1.0,1.0,0.0
17,18,F,2,1,25,put,1,2,Z,Y,,random,,,,,,
17,19,G,3,9,312,put,1,1,Z,Y,,monte_carlo,24,1.0,10.5,1.0,1.0,0.0
17,20,F,3,8,144,put,2,1,X,Z,X,random,,,,,,
17,21,G,3,7,192,put,2,2,X,Z,,monte_carlo,24,1.0,10.9,1.0,1.0,0.0
17,22,F,3,6,54,put,2,0,Y,Z,,random,,,,,,
17,23,G,3,5,88,put,0,2,Y,Z,,monte_carlo,24,1.0,11.4,1.0,1.0,0.0
17,24,G,3,4,34,put,1,2,Z,Y,Y,monte_carlo,24,1.0,12.0,1.0,1.0,0.0
18,1,F,1,9,649,put,1,1,X,Y,,random,,,,,,
18,2,G,1,8,577,put,2,2,Z,X,,monte_carlo,24,0.7,2.2,0.7,0.7,0.0
18,3,F,1,7,463,put,0,0,Z,Y,,random,,,,,,
18,4,G,1,6,397,put,0,1,Z,X,,monte_carlo,24,0.8,2.3,0.8,0.75,0.050000000000000044
18,5,F,1,5,301,put,1,0,Z,X,,random,,,,,,
18,6,G,1,4,241,put,2,1,Z,X,,monte_carlo,24,0.7,1.2,0.7,0.6,0.09999999999999998
18,7,F,1,3,163,put,0,2,X,Y,,random,,,,,,
18,8,G,1,2,109,put,2,0,Y,X,,monte_carlo,24,1.0,6.3,1.0,1.0,0.0
18,9,F,1,1,49,put,1,2,Z,Y,,random,,,,,,
18,10,F,2,9,547,put,0,0,X,Y,,random,,,,,,
18,11,G,2,8,544,put,1,1,X,Y,,monte_carlo,24,1.0,4.8,1.0,1.0,0.0
18,12,F,2,7,373,put,0,2,Y,Z,,random,,,,,,
18,13,G,2,6,364,put,1,0,X,Z,,monte_carlo,24,1.0,5.4,1.0,1.0,0.0
18,14,F,2,5,221,put,1,2,Y,Z,Y,random,,,,,,
18,15,G,2,4,216,put,2,0,Z,Y,,monte_carlo,24,1.0,9.7,1.0,1.0,0.0
18,16,F,2,3,105,put,0,1,X,Z,X,random,,,,,,
18,17,G,2,2,90,put,2,2,X,Y,,monte_carlo,24,1.0,12.6,1.0,1.0,0.0
18,18,F,2,1,25,put,2,1,Z,X,X,random,,,,,,
18,19,G,3,9,312,put,1,2,X,Z,,monte_carlo,24,1.0,13.8,1.0,1.0,0.0
18,20,F,3,8,140,put,0,1,Z,X,,random,,,,,,
18,21,G,3,7,186,put,0,0,Z,Y,,monte_carlo,24,1.0,15.1,1.0,1.0,0.0
18,22,F,3,6,52,put,2,2,Z,X,,random,,,,,,
18,23,G,3,5,84,put,2,1,Y,Z,,monte_carlo,24,1.0,15.7,1.0,1.0,0.0
18,24,G,3,4,34,put,1,0,Y,Z,,monte_carlo,24,1.0,16.0,1.0,1.0,0.0
19,1,F,1,9,649,put,2,1,Z,Y,,random,,,,,,
19,2,G,1,8,577,put,0,0,Y,X,,monte_carlo,24,0.85,3.2,0.85,0.75,0.09999999999999998
19,3,F,1,7,463,put,1,1,Y,Z,,random,,,,,,
19,4,G,1,6,397,put,0,1,X,Z,,monte_carlo,24,0.75,2.8,0.75,0.65,0.09999999999999998
19,5,F,1,5,301,put,1,0,Z,X,,random,,,,,,
19,6,G,1,4,241,put,1,2,Y,X,,monte_carlo,24,0.9,3.5,0.9,0.85,0.050000000000000044
19,7,F,1,3,163,put,2,0,Z,X,,random,,,,,,
19,8,G,1,2,109,put,0,2,Z,X,,monte_carlo,24,0.95,4.1,0.95,0.8,0.1499999999999999
19,9,F,1,1,49,put,2,2,Z,Y,,random,,,,,,
19,10,F,2,9,547,put,1,2,Y,Z,Y,random,,,,,,
19,11,G,2,8,560,put,2,1,Y,Z,,monte_carlo,24,1.0,4.7,1.0,1.0,0.0
19,12,F,2,7,373,put,0,1,Z,X,X,random,,,,,,
19,13,G,2,6,378,put,0,2,X,Y,,monte_carlo,24,1.0,7.7,1.0,1.0,0.0
19,14,F,2,5,221,put,0,0,X,Z,,random,,,,,,
19,15,G,2,4,204,put,1,1,X,Z,,monte_carlo,24,1.0,9.9,1.0,1.0,0.0
19,16,F,2,3,113,put,2,2,Z,Y,,random,,,,,,
19,17,G,2,2,90,put,2,0,Y,Z,Y,monte_carlo,24,1.0,10.8,1.0,1.0,0.0
19,18,F,2,1,25,put,1,0,Z,Y,,random,,,,,,
19,19,G,3,9,312,put,2,0,X,Z,X,monte_carlo,24,1.0,11.3,1.0,1.0,0.0
19,20,F,3,8,136,put,0,1,Z,X,X,random,,,,,,
19,21,G,3,7,180,put,1,2,X,Z,,monte_carlo,24,1.0,13.3,1.0,1.0,0.0
19,22,F,3,6,52,put,0,2,Z,Y,,random,,,,,,
19,23,G,3,5,84,put,1,0,Z,Y,Y,monte_carlo,24,1.0,13.7,1.0,1.0,0.0
19,24,G,3,4,34,put,1,1,X,Z,,monte_carlo,24,1.0,14.0,1.0,1.0,0.0
20,1,F,1,9,649,put,0,2,X,Z,,random,,,,,,
20,2,G,1,8,577,put,0,1,Y,X,,monte_carlo,24,0.6,2.0,0.6,0.6,0.0
20,3,F,1,7,463,put,2,1,Y,X,,random,,,,,,
20,4,G,1,6,397,put,1,1,Z,X,,monte_carlo,24,1.0,3.2,1.0,0.8,0.19999999999999996
20,5,F,1,5,301,put,2,2,Z,X,,random,,,,,,
20,6,G,1,4,241,put,2,0,Z,Y,,monte_carlo,24,0.8,2.2,0.8,0.8,0.0
20,7,F,1,3,163,put,0,0,Y,X,,random,,,,,,
20,8,G,1,2,109,put,1,0,Y,Z,,monte_carlo,24,1.0,7.7,1.0,1.0,0.0
20,9,F,1,1,49,put,1,2,Y,Z,,random,,,,,,
20,10,F,2,9,547,put,1,1,X,Z,,random,,,,,,
20,11,G,2,8,576,put,2,0,Z,Y,Y,monte_carlo,24,1.0,8.1,1.0,1.0,0.0
